filename	task	run	subject	MotionExclusion	MeanFD	#Artifacts_FD	MeanDVARS	#Artifacts_DVARS	#Artifacts_ART
func/sub-pixar001_task-pixar_bold.nii.gz	pixar		sub-pixar001	False	0.3877547586407185	11	1.5323208383233533	50	10
func/sub-pixar002_task-pixar_bold.nii.gz	pixar		sub-pixar002	False	0.35147804192574855	15	1.7231390059880238	74	13
func/sub-pixar003_task-pixar_bold.nii.gz	pixar		sub-pixar003	False	0.3340052069221556	6	1.45994077245509	56	4
func/sub-pixar004_task-pixar_bold.nii.gz	pixar		sub-pixar004	False	0.4079888063652695	12	1.609402419161677	67	10
func/sub-pixar005_task-pixar_bold.nii.gz	pixar		sub-pixar005	False	0.13184529088922153	0	1.8083619101796409	87	0
func/sub-pixar006_task-pixar_bold.nii.gz	pixar		sub-pixar006	False	0.9381667914131734	40	1.6375195209580842	77	37
func/sub-pixar007_task-pixar_bold.nii.gz	pixar		sub-pixar007	False	0.31623873527125745	12	1.4126219341317365	56	13
func/sub-pixar008_task-pixar_bold.nii.gz	pixar		sub-pixar008	False	0.321223767491018	4	1.6732522035928146	83	1
func/sub-pixar010_task-pixar_bold.nii.gz	pixar		sub-pixar010	False	0.1041159757532934	0	1.6781810479041912	76	0
func/sub-pixar011_task-pixar_bold.nii.gz	pixar		sub-pixar011	False	0.2447384763532934	2	1.7168978083832338	84	1
func/sub-pixar012_task-pixar_bold.nii.gz	pixar		sub-pixar012	False	0.5305464226946108	18	1.9415042395209583	108	14
func/sub-pixar013_task-pixar_bold.nii.gz	pixar		sub-pixar013	False	0.11051901184431134	0	1.3069807964071856	40	0
func/sub-pixar014_task-pixar_bold.nii.gz	pixar		sub-pixar014	False	0.12230718101976047	2	1.823178497005988	87	2
func/sub-pixar015_task-pixar_bold.nii.gz	pixar		sub-pixar015	False	0.27853448632335326	4	1.8331992754491018	69	6
func/sub-pixar016_task-pixar_bold.nii.gz	pixar		sub-pixar016	False	0.5045021448263474	15	1.7242930538922157	70	17
func/sub-pixar017_task-pixar_bold.nii.gz	pixar		sub-pixar017	False	0.1584257481856287	0	1.5704498263473052	63	0
func/sub-pixar018_task-pixar_bold.nii.gz	pixar		sub-pixar018	False	0.3398644627005988	3	1.6148999341317363	61	4
func/sub-pixar019_task-pixar_bold.nii.gz	pixar		sub-pixar019	False	0.23908370393173647	6	2.3039504251497007	116	2
func/sub-pixar020_task-pixar_bold.nii.gz	pixar		sub-pixar020	False	0.24836044658682632	9	1.6262753592814372	73	7
func/sub-pixar021_task-pixar_bold.nii.gz	pixar		sub-pixar021	False	0.4025467581988024	14	1.800083850299401	90	12
func/sub-pixar022_task-pixar_bold.nii.gz	pixar		sub-pixar022	False	0.2062389447650299	5	1.531930269461078	60	5
func/sub-pixar023_task-pixar_bold.nii.gz	pixar		sub-pixar023	False	0.17161357257485027	0	1.617953646706587	47	0
func/sub-pixar024_task-pixar_bold.nii.gz	pixar		sub-pixar024	False	0.21498091132275443	1	2.045676880239521	106	0
func/sub-pixar025_task-pixar_bold.nii.gz	pixar		sub-pixar025	False	0.3468014434670659	5	1.8410708323353295	83	6
func/sub-pixar026_task-pixar_bold.nii.gz	pixar		sub-pixar026	False	0.20062813627664666	1	2.236744634730539	91	3
func/sub-pixar027_task-pixar_bold.nii.gz	pixar		sub-pixar027	False	1.1924637523473054	29	2.095611245508982	72	27
func/sub-pixar028_task-pixar_bold.nii.gz	pixar		sub-pixar028	True	1.2825753662814374	70	1.7930378083832337	101	63
func/sub-pixar029_task-pixar_bold.nii.gz	pixar		sub-pixar029	False	0.31316620667005984	8	2.4316585928143715	130	6
func/sub-pixar030_task-pixar_bold.nii.gz	pixar		sub-pixar030	False	0.2617331346347305	7	1.9618446646706587	78	10
func/sub-pixar031_task-pixar_bold.nii.gz	pixar		sub-pixar031	False	0.45035808821556883	13	1.6365731676646709	54	14
func/sub-pixar032_task-pixar_bold.nii.gz	pixar		sub-pixar032	False	0.4559056953053891	14	1.7535124071856283	62	8
func/sub-pixar033_task-pixar_bold.nii.gz	pixar		sub-pixar033	False	0.11641703167065866	1	1.6820947485029938	63	1
func/sub-pixar034_task-pixar_bold.nii.gz	pixar		sub-pixar034	False	1.1942879212934132	36	1.7932481616766462	85	27
func/sub-pixar035_task-pixar_bold.nii.gz	pixar		sub-pixar035	False	0.5981299349245509	19	1.1652064431137723	24	18
func/sub-pixar036_task-pixar_bold.nii.gz	pixar		sub-pixar036	False	0.7943915197664672	32	2.1856588622754494	129	29
func/sub-pixar037_task-pixar_bold.nii.gz	pixar		sub-pixar037	False	0.519165627005988	20	1.3772364790419163	44	20
func/sub-pixar038_task-pixar_bold.nii.gz	pixar		sub-pixar038	False	0.315065864566467	6	1.779947005988024	92	5
func/sub-pixar039_task-pixar_bold.nii.gz	pixar		sub-pixar039	False	0.5357564585089821	26	1.6114462934131737	70	23
func/sub-pixar040_task-pixar_bold.nii.gz	pixar		sub-pixar040	True	1.2519226290299401	67	2.1416849101796407	121	51
func/sub-pixar041_task-pixar_bold.nii.gz	pixar		sub-pixar041	False	0.25037774071257485	3	1.5927748083832334	76	5
func/sub-pixar042_task-pixar_bold.nii.gz	pixar		sub-pixar042	False	0.619592803058084	28	1.927993407185629	100	13
func/sub-pixar043_task-pixar_bold.nii.gz	pixar		sub-pixar043	False	0.12797935645712574	0	1.9092333473053893	93	0
func/sub-pixar044_task-pixar_bold.nii.gz	pixar		sub-pixar044	False	0.520251138730539	16	1.3185451616766468	34	16
func/sub-pixar045_task-pixar_bold.nii.gz	pixar		sub-pixar045	False	0.22192977419161675	1	2.322016209580838	131	3
func/sub-pixar046_task-pixar_bold.nii.gz	pixar		sub-pixar046	False	0.9336336507784432	46	1.8682975568862272	110	36
func/sub-pixar047_task-pixar_bold.nii.gz	pixar		sub-pixar047	False	0.3062665946137724	7	2.061539922155689	134	6
func/sub-pixar048_task-pixar_bold.nii.gz	pixar		sub-pixar048	False	0.23889968274311377	9	1.7562996826347306	80	7
func/sub-pixar049_task-pixar_bold.nii.gz	pixar		sub-pixar049	False	0.22228596791616764	0	3.1803373473053886	153	0
func/sub-pixar050_task-pixar_bold.nii.gz	pixar		sub-pixar050	False	0.4241447239401197	11	1.4575594610778444	54	8
func/sub-pixar051_task-pixar_bold.nii.gz	pixar		sub-pixar051	False	0.36692105097784433	16	2.3715723892215568	128	13
func/sub-pixar052_task-pixar_bold.nii.gz	pixar		sub-pixar052	False	0.11840941248622752	0	1.8859811856287423	102	0
func/sub-pixar053_task-pixar_bold.nii.gz	pixar		sub-pixar053	False	0.2643163266874251	6	1.831037616766467	101	5
func/sub-pixar054_task-pixar_bold.nii.gz	pixar		sub-pixar054	False	0.29966306164071854	1	1.7781729221556886	89	1
func/sub-pixar055_task-pixar_bold.nii.gz	pixar		sub-pixar055	False	0.18797285282095808	0	1.8971117604790422	100	2
func/sub-pixar056_task-pixar_bold.nii.gz	pixar		sub-pixar056	False	0.2390474166251497	7	1.7956369341317362	83	8
func/sub-pixar057_task-pixar_bold.nii.gz	pixar		sub-pixar057	False	0.16080626492889818	0	2.1329884491017963	79	3
func/sub-pixar058_task-pixar_bold.nii.gz	pixar		sub-pixar058	False	0.09220314816287424	0	2.376645359281437	145	0
func/sub-pixar059_task-pixar_bold.nii.gz	pixar		sub-pixar059	False	0.3758035776694611	9	2.3769377065868262	127	10
func/sub-pixar060_task-pixar_bold.nii.gz	pixar		sub-pixar060	False	0.2285580403392814	6	1.976204263473054	106	3
func/sub-pixar061_task-pixar_bold.nii.gz	pixar		sub-pixar061	True	1.5406465109195808	69	1.582524628742515	97	59
func/sub-pixar062_task-pixar_bold.nii.gz	pixar		sub-pixar062	False	0.28889510287425146	7	1.8842163173652693	70	10
func/sub-pixar063_task-pixar_bold.nii.gz	pixar		sub-pixar063	False	0.16583800274071855	0	1.9978085568862272	79	3
func/sub-pixar064_task-pixar_bold.nii.gz	pixar		sub-pixar064	False	0.6940389771023953	28	2.2851687485029943	153	17
func/sub-pixar065_task-pixar_bold.nii.gz	pixar		sub-pixar065	False	0.16429783721796404	7	1.8962262455089818	94	4
func/sub-pixar066_task-pixar_bold.nii.gz	pixar		sub-pixar066	False	0.19047146496407183	3	1.6460309041916168	64	7
func/sub-pixar067_task-pixar_bold.nii.gz	pixar		sub-pixar067	False	0.2988371997904192	5	1.8968077185628742	96	7
func/sub-pixar068_task-pixar_bold.nii.gz	pixar		sub-pixar068	False	0.3157793049688623	8	2.1568868862275448	119	9
func/sub-pixar069_task-pixar_bold.nii.gz	pixar		sub-pixar069	False	0.41420616944910177	11	1.479413616766467	51	10
func/sub-pixar070_task-pixar_bold.nii.gz	pixar		sub-pixar070	False	0.273619323251497	6	1.5132021497005987	31	3
func/sub-pixar071_task-pixar_bold.nii.gz	pixar		sub-pixar071	False	0.17913121974251495	1	1.983416520958084	87	5
func/sub-pixar072_task-pixar_bold.nii.gz	pixar		sub-pixar072	False	0.4320132007243114	11	1.8398768023952095	102	10
func/sub-pixar073_task-pixar_bold.nii.gz	pixar		sub-pixar073	False	0.2034502221437125	1	1.8687561137724553	84	0
func/sub-pixar074_task-pixar_bold.nii.gz	pixar		sub-pixar074	False	0.20335205828263467	4	2.1241689161676645	87	3
func/sub-pixar075_task-pixar_bold.nii.gz	pixar		sub-pixar075	False	1.1055626405532935	45	2.00076822754491	118	37
func/sub-pixar076_task-pixar_bold.nii.gz	pixar		sub-pixar076	False	0.3636724196766467	12	1.600251479041916	53	14
func/sub-pixar077_task-pixar_bold.nii.gz	pixar		sub-pixar077	False	0.13888612034550896	0	1.6589469041916167	65	3
func/sub-pixar078_task-pixar_bold.nii.gz	pixar		sub-pixar078	True	1.1625334048722156	93	1.6330317305389221	86	73
func/sub-pixar079_task-pixar_bold.nii.gz	pixar		sub-pixar079	False	0.1881068501616766	1	1.6905162574850299	80	1
func/sub-pixar080_task-pixar_bold.nii.gz	pixar		sub-pixar080	False	0.12747293379640717	0	1.683002023952096	79	1
func/sub-pixar081_task-pixar_bold.nii.gz	pixar		sub-pixar081	False	0.6749251631514971	22	1.5851042634730537	71	21
func/sub-pixar082_task-pixar_bold.nii.gz	pixar		sub-pixar082	False	0.19748919327305386	1	1.5941706526946107	73	1
func/sub-pixar083_task-pixar_bold.nii.gz	pixar		sub-pixar083	False	0.20876815894610773	5	1.8203211796407188	94	7
func/sub-pixar084_task-pixar_bold.nii.gz	pixar		sub-pixar084	False	0.22638742928143712	2	1.9266557964071858	104	1
func/sub-pixar085_task-pixar_bold.nii.gz	pixar		sub-pixar085	False	0.39077434946107786	14	1.8500199940119761	84	10
func/sub-pixar086_task-pixar_bold.nii.gz	pixar		sub-pixar086	False	0.24638807455089817	2	1.6877577724550898	81	1
func/sub-pixar087_task-pixar_bold.nii.gz	pixar		sub-pixar087	False	0.1544567495281437	2	1.6977401976047903	80	3
func/sub-pixar088_task-pixar_bold.nii.gz	pixar		sub-pixar088	False	0.0936106931026347	0	1.9267755868263474	105	2
func/sub-pixar089_task-pixar_bold.nii.gz	pixar		sub-pixar089	False	0.44933334707784434	11	2.071294874251497	112	12
func/sub-pixar090_task-pixar_bold.nii.gz	pixar		sub-pixar090	False	0.7628380278502994	31	1.6747525928143714	88	32
func/sub-pixar091_task-pixar_bold.nii.gz	pixar		sub-pixar091	False	0.21334825135089816	6	1.7758540119760482	75	6
func/sub-pixar092_task-pixar_bold.nii.gz	pixar		sub-pixar092	False	0.19130551873028745	0	1.9129154431137725	119	1
func/sub-pixar093_task-pixar_bold.nii.gz	pixar		sub-pixar093	False	0.21318454686706587	1	1.7230717604790418	74	1
func/sub-pixar094_task-pixar_bold.nii.gz	pixar		sub-pixar094	False	0.19964400102395205	5	2.0489904131736525	100	6
func/sub-pixar095_task-pixar_bold.nii.gz	pixar		sub-pixar095	False	0.18542632059880235	1	1.7294235988023952	78	4
func/sub-pixar096_task-pixar_bold.nii.gz	pixar		sub-pixar096	False	0.15986301310179638	0	1.6336367125748505	65	2
func/sub-pixar097_task-pixar_bold.nii.gz	pixar		sub-pixar097	False	0.45420832723832333	12	1.8445103293413174	90	10
func/sub-pixar098_task-pixar_bold.nii.gz	pixar		sub-pixar098	False	0.09785928258083827	0	1.789524946107784	100	2
func/sub-pixar099_task-pixar_bold.nii.gz	pixar		sub-pixar099	False	0.23963813355808383	5	1.8788899580838325	103	5
func/sub-pixar100_task-pixar_bold.nii.gz	pixar		sub-pixar100	False	0.2891221408299401	5	1.7255712634730538	51	6
func/sub-pixar101_task-pixar_bold.nii.gz	pixar		sub-pixar101	False	0.11183071055029938	4	1.8238306826347301	88	4
func/sub-pixar102_task-pixar_bold.nii.gz	pixar		sub-pixar102	False	0.26764790253293413	9	2.07489954491018	79	10
func/sub-pixar103_task-pixar_bold.nii.gz	pixar		sub-pixar103	False	0.8395188718712575	34	2.1412030778443114	95	25
func/sub-pixar104_task-pixar_bold.nii.gz	pixar		sub-pixar104	False	0.9785236597005988	30	1.2366702754491017	33	21
func/sub-pixar105_task-pixar_bold.nii.gz	pixar		sub-pixar105	False	0.5625254855209582	22	1.9409683532934137	97	14
func/sub-pixar106_task-pixar_bold.nii.gz	pixar		sub-pixar106	False	0.4588237809760478	15	2.424681101796407	118	11
func/sub-pixar107_task-pixar_bold.nii.gz	pixar		sub-pixar107	False	0.15026915146586825	2	1.977897143712575	109	4
func/sub-pixar108_task-pixar_bold.nii.gz	pixar		sub-pixar108	False	0.32966171750718565	3	2.0550627784431135	102	2
func/sub-pixar109_task-pixar_bold.nii.gz	pixar		sub-pixar109	False	0.22787344497005987	1	1.7506966407185627	83	2
func/sub-pixar110_task-pixar_bold.nii.gz	pixar		sub-pixar110	False	0.34164453909221554	11	1.944894137724551	101	10
func/sub-pixar111_task-pixar_bold.nii.gz	pixar		sub-pixar111	False	0.5212710777317364	24	1.7996280000000007	92	25
func/sub-pixar112_task-pixar_bold.nii.gz	pixar		sub-pixar112	False	0.22407572102514964	1	2.2377080299401197	126	2
func/sub-pixar113_task-pixar_bold.nii.gz	pixar		sub-pixar113	False	0.2062631776706587	6	1.931616748502994	43	6
func/sub-pixar114_task-pixar_bold.nii.gz	pixar		sub-pixar114	False	0.7122702100257485	21	1.4677893233532933	56	20
func/sub-pixar115_task-pixar_bold.nii.gz	pixar		sub-pixar115	False	0.08270269054646703	0	1.6818408323353293	53	1
func/sub-pixar116_task-pixar_bold.nii.gz	pixar		sub-pixar116	False	0.6111801810610777	8	1.7941462874251497	57	8
