"time","ID","lamygdala","ramygdala","lFFA","rFFA","lSTS","rSTS","lMMPFC","rMMPFC"
0,"060",-0.92709416,-1.3804029,-0.68663824,-0.6864868,0.6592723,-0.11553689,1.0118433,-0.0677152
0,"062",2.2362635,1.4426996,-1.3269055,-2.2860796,0.50946474,-0.11214731,-0.41314545,-0.5194958
0,"063",-0.34392244,-0.328808,-0.5007309,-1.1800026,0.010794209,0.58871734,-0.1448125,-0.07570456
0,"064",0.7731911,-0.38312632,-0.52037305,-1.2569811,1.3508902,-0.2984918,1.4826233,1.3674133
0,"065",-1.1896853,-1.4374484,-1.2999779,-1.7021967,1.1923542,0.1975726,1.2531017,1.813853
0,"066",0.7953951,0.038491998,1.2534068,-1.0868214,-0.27052224,0.71499574,1.1459045,-1.0826519
0,"067",0.105457544,-0.18416137,-0.72566307,-1.3533182,1.6595516,-0.472833,1.4569838,-0.32891512
0,"068",-1.0116104,-0.52997047,-1.1381973,-1.1012298,0.2069631,-0.27010077,-0.6971864,0.52602214
0,"069",-0.24297069,0.914141,0.29887,-0.103101864,1.1970152,0.62410086,1.2591969,1.3732859
0,"070",0.9515774,0.037928663,0.94480896,-0.96373636,1.4065338,-0.11527412,-1.2491201,-0.7293239
0,"071",-0.85097337,-0.9890102,-0.9963525,-0.26777858,-0.6769765,0.56241953,-1.1887279,-1.0784515
0,"072",-1.2586983,-1.219555,0.75909305,-0.16962299,0.0054210066,-0.012837281,-0.23798355,-0.071850814
0,"073",-0.5345646,-0.5061786,-0.26942283,-0.50518054,1.0818129,-0.6191226,0.7247447,0.30717152
0,"074",0.5249607,-0.691374,0.029611241,0.21256058,1.5724456,0.3549257,-0.1419281,-0.21366379
0,"075",-0.7596845,-0.027877076,-0.9044924,0.49454397,-0.10570824,0.95163524,0.1220295,0.26723272
0,"076",-0.36791447,-1.7814084,0.2605047,-1.5830986,-0.3126405,-0.4276189,-1.2364641,-0.9481928
0,"077",-0.5218462,-0.8285306,-0.37999701,-0.4849301,1.1632512,-1.0568473,-1.3613981,-0.6058172
0,"079",1.2472113,1.6438398,-0.6280122,-0.061528973,0.9486372,1.6135174,0.2026184,1.0472505
0,"080",1.3870075,0.44659004,0.5505651,-1.6690613,0.88686335,-0.7720291,1.2795088,1.3535633
0,"081",-0.6368708,0.04455432,-0.5402933,-0.9392849,0.23372588,-0.3414782,-0.1319325,0.52536994
0,"082",-1.7811189,-0.2833338,0.27983874,-0.6946193,-0.23095915,-0.60384953,0.42515355,0.47174868
0,"083",-0.3664697,0.1499471,0.39158645,-0.13943903,0.9660503,0.5664705,-0.1672285,0.3449522
0,"084",-0.84104717,-0.31014067,-1.327462,-0.83684987,-0.6587256,-0.69438446,0.25317615,0.46186972
0,"085",0.3399617,0.49611703,-1.1630423,0.15469858,-0.3864711,-0.6256646,1.6394275,-1.3234015
0,"086",-0.37589604,0.91512406,-1.2225287,-1.0506393,0.41921225,-0.3571567,0.52834797,0.24487185
0,"087",0.20481075,-0.4148486,-0.067585535,-0.008854005,0.23764005,-0.26824546,0.82319593,0.52367294
0,"088",0.541577,0.35469934,-1.2066759,-1.898864,-0.83227634,-1.1375628,-0.33571225,-0.57385695
0,"089",0.32660717,-1.0943699,-1.3178629,-1.758826,0.09910704,-1.5167176,-1.1576707,-0.41472968
0,"090",-0.9836127,-1.4940686,-0.586231,-0.8166934,-0.10054712,-0.94387376,-1.3996625,-0.7485401
0,"091",-1.0057298,-0.62616813,-0.9130093,-0.52251977,-0.65283835,0.14965753,0.36668864,-0.5485652
0,"092",0.2995475,-0.92747045,-0.5338724,-1.2478323,0.4532908,-0.9901527,-0.98322356,-0.3069374
0,"093",2.6113806,3.0723908,0.041832346,0.16935699,-0.30399567,1.0069027,-1.6017303,-1.6690705
0,"094",0.14005777,-0.21301144,-0.30635548,-1.1362416,1.168232,-1.0493098,0.028848624,-0.5073017
0,"095",-0.6387556,-1.0258971,-1.8426425,-0.16484204,0.17262116,-1.2567022,-1.3447974,-1.4071493
0,"096",0.72943515,2.0924194,0.46528316,1.1325734,1.064682,1.656759,0.3696343,-0.42115647
0,"097",-0.46755794,-0.94135165,-0.28645974,-0.14389864,-0.5182937,0.57045853,-1.1818697,-0.85469854
0,"098",-0.5760708,-0.33075425,-1.2833362,-1.2950566,-1.1050833,-0.8769447,0.9326614,-0.7906455
0,"099",0.8970794,1.1050309,-0.6373669,-1.3330952,-1.210103,-0.45661002,0.17547989,1.0774803
0,"100",-0.54313177,0.23443349,-0.4555708,-0.47661465,-0.5108653,-0.6353649,1.0477378,0.6383243
0,"101",1.9405758,0.92654663,-1.105912,-0.806388,0.20553401,-0.95562303,0.60464495,-0.02739442
0,"102",0.14042252,-0.6694411,0.54185355,-0.45728287,0.82801247,1.1752084,0.43419456,0.65469724
0,"103",-0.7496814,-0.8501684,-1.2186596,-1.6094586,0.29046202,-0.55620515,0.09971175,-1.3750839
0,"104",0.16542503,-0.099461496,-2.0088043,-1.0455284,0.2545833,-0.8283869,-0.0031584464,0.1650945
0,"105",NA,NA,NA,NA,NA,NA,NA,NA
0,"106",0.016976263,0.0392415,0.46840516,0.526856,0.098678425,0.39176878,-0.97066784,-1.156485
0,"107",-1.5463754,-1.55189,-2.0610354,-1.8473446,-2.6582878,-1.7642505,-2.0447705,-1.8320436
0,"108",-0.39699042,-0.23965707,-1.0125673,-2.0235362,0.45279995,-1.0139678,0.58559,-0.9049509
0,"109",-0.27972606,-0.120714396,-0.306243,-0.57319516,-0.8054584,-0.9222973,-0.6611387,-1.1352003
0,"110",-1.520377,-1.3668909,-1.241849,0.62202585,-1.0035486,1.0529754,0.45225292,0.8930329
0,"111",-1.5122335,-0.93426627,-1.503499,-1.8711662,0.15718797,-0.1926133,-0.19706269,0.22536078
0,"112",-1.2924693,-1.4717114,-0.81515473,-1.6391153,-0.24473193,-1.5300138,-1.1800613,-1.6369905
0,"113",-0.96415204,-0.09945718,0.008822417,0.7838162,0.058924228,0.4830702,-0.09060229,-0.1157428
0,"114",-2.564866,-2.250415,-1.2562267,-1.4862207,-0.26297164,-2.3587024,-1.4061896,-2.885767
0,"115",-0.730225,-0.05357997,-2.1561494,-1.8587875,0.47357082,-0.72255087,1.3251827,0.3671284
