onset	trial_type	end
9	faces	10
12	faces	13
16	faces	17
19	faces	21
58	faces	59
69	faces	73
86	faces	88
91	faces	94
106	faces	108
115	faces	117
151	faces	152
159	faces	161
8	scenes	10
17	scenes	25
50	scenes	52
61	scenes	62
67	scenes	70
79	scenes	80
101	scenes	102
113	scenes	115
121	scenes	122
127	scenes	129
133	scenes	135
162	scenes	165
