time,sub,run,half,fROI-lMMPFC-lmmpfc-ls2-splithalf-01,fROI-lMMPFC-lmmpfc-ls2-splithalf-02,fROI-rMMPFC-rmmpfc-rs2-splithalf-01,fROI-rMMPFC-rmmpfc-rs2-splithalf-02
2,pixar001,run-01,splithalf-02,-1.1833969,,-1.1125135,
3,pixar001,run-01,splithalf-02,-0.072913095,,-0.07126997,
4,pixar001,run-01,splithalf-02,-0.7607437,,-0.041375387,
5,pixar001,run-01,splithalf-02,0.1562136,,-1.0551926,
6,pixar001,run-01,splithalf-02,-0.7259099,,-1.6460915,
7,pixar001,run-01,splithalf-02,-0.29977283,,-0.70981884,
8,pixar001,run-01,splithalf-02,-0.48464632,,0.110724784,
9,pixar001,run-01,splithalf-02,-1.0342003,,0.36744308,
10,pixar001,run-01,splithalf-02,-0.24392347,,0.51783466,
11,pixar001,run-01,splithalf-02,-0.39854443,,-0.93672144,
12,pixar001,run-01,splithalf-02,-0.3790589,,-2.0273468,
13,pixar001,run-01,splithalf-02,-0.1680117,,-0.52488494,
14,pixar001,run-01,splithalf-02,0.11875465,,0.5399698,
15,pixar001,run-01,splithalf-02,-0.26676774,,0.68970966,
16,pixar001,run-01,splithalf-02,-1.0093777,,-0.45092922,
17,pixar001,run-01,splithalf-02,0.05885024,,0.53609335,
18,pixar001,run-01,splithalf-02,0.77515835,,0.31589407,
19,pixar001,run-01,splithalf-02,0.5563108,,-0.1820253,
20,pixar001,run-01,splithalf-02,0.061932992,,-0.41081485,
21,pixar001,run-01,splithalf-02,0.6934757,,0.6528387,
22,pixar001,run-01,splithalf-02,-0.617061,,-0.22959462,
23,pixar001,run-01,splithalf-02,-0.6086378,,-0.55313855,
24,pixar001,run-01,splithalf-02,-0.6844415,,-0.007775149,
25,pixar001,run-01,splithalf-02,0.48739713,,0.9174372,
26,pixar001,run-01,splithalf-02,1.0495598,,1.2746639,
27,pixar001,run-01,splithalf-02,0.41142568,,0.022390613,
28,pixar001,run-01,splithalf-02,0.27456266,,-0.50221545,
29,pixar001,run-01,splithalf-02,0.15283796,,-0.012079644,
30,pixar001,run-01,splithalf-02,-0.8283146,,-0.30606654,
31,pixar001,run-01,splithalf-02,1.1986523,,1.4295074,
32,pixar001,run-01,splithalf-02,-0.61694336,,0.32673845,
33,pixar001,run-01,splithalf-02,-0.91784227,,0.1538395,
34,pixar001,run-01,splithalf-02,-0.7538382,,-0.21024208,
35,pixar001,run-01,splithalf-02,-0.111304544,,-1.0665952,
36,pixar001,run-01,splithalf-02,0.34175494,,-1.5430311,
37,pixar001,run-01,splithalf-02,1.7030442,,0.8421259,
38,pixar001,run-01,splithalf-02,1.071113,,0.6780958,
39,pixar001,run-01,splithalf-02,-0.30987,,-0.9783083,
40,pixar001,run-01,splithalf-02,-0.5821456,,-1.1497033,
41,pixar001,run-01,splithalf-02,-1.3701332,,-0.47147673,
42,pixar001,run-01,splithalf-02,-0.724235,,-0.3466262,
43,pixar001,run-01,splithalf-02,-0.10550423,,0.5539136,
44,pixar001,run-01,splithalf-02,0.010769312,,0.7441576,
45,pixar001,run-01,splithalf-02,-0.03853161,,0.25041083,
46,pixar001,run-01,splithalf-02,-0.5845541,,-0.60674846,
47,pixar001,run-01,splithalf-02,-0.95715314,,-0.9291059,
48,pixar001,run-01,splithalf-02,-0.045289256,,-0.1171556,
49,pixar001,run-01,splithalf-02,-0.07114826,,-0.98478556,
50,pixar001,run-01,splithalf-02,0.08652989,,-0.55652636,
51,pixar001,run-01,splithalf-02,0.4119943,,-0.33087948,
52,pixar001,run-01,splithalf-02,0.37078816,,-0.092076555,
53,pixar001,run-01,splithalf-02,0.10967511,,-0.009618196,
54,pixar001,run-01,splithalf-02,0.52738416,,-0.08478777,
55,pixar001,run-01,splithalf-02,0.22517478,,-1.0130081,
56,pixar001,run-01,splithalf-02,0.5132806,,-0.22631326,
57,pixar001,run-01,splithalf-02,-0.943683,,-0.44502062,
58,pixar001,run-01,splithalf-02,-0.5933673,,0.34396586,
59,pixar001,run-01,splithalf-02,0.35237613,,0.714657,
60,pixar001,run-01,splithalf-02,-0.25978604,,0.123612165,
61,pixar001,run-01,splithalf-02,1.1238966,,0.13314234,
62,pixar001,run-01,splithalf-02,0.9340666,,-0.03193954,
63,pixar001,run-01,splithalf-02,0.8370689,,0.77497965,
64,pixar001,run-01,splithalf-02,-0.002854684,,0.9587387,
65,pixar001,run-01,splithalf-02,0.8831846,,0.9835278,
66,pixar001,run-01,splithalf-02,0.36137444,,1.5677799,
67,pixar001,run-01,splithalf-02,0.19061741,,0.62616587,
68,pixar001,run-01,splithalf-02,-0.5557327,,0.1731936,
69,pixar001,run-01,splithalf-02,-0.72729075,,-0.118448436,
70,pixar001,run-01,splithalf-02,-0.3809481,,-0.48212552,
71,pixar001,run-01,splithalf-02,1.5114828,,0.134434,
72,pixar001,run-01,splithalf-02,1.2389282,,0.6504938,
73,pixar001,run-01,splithalf-02,-0.02877326,,-0.03493298,
74,pixar001,run-01,splithalf-02,0.1302503,,-0.26035982,
75,pixar001,run-01,splithalf-02,0.6681269,,0.55690986,
76,pixar001,run-01,splithalf-02,0.55889964,,0.5360495,
77,pixar001,run-01,splithalf-02,2.032148,,1.9214771,
78,pixar001,run-01,splithalf-02,2.2406943,,2.2968116,
79,pixar001,run-01,splithalf-02,-0.23564129,,0.5662015,
80,pixar001,run-01,splithalf-02,-0.84075034,,0.3050173,
81,pixar001,run-01,splithalf-02,-0.9591211,,-0.8284478,
0,pixar002,run-01,splithalf-01,,,,
1,pixar002,run-01,splithalf-01,,,,
2,pixar002,run-01,splithalf-01,,,,
3,pixar002,run-01,splithalf-01,,,,
4,pixar002,run-01,splithalf-01,,-1.7507004,,-1.3687
5,pixar002,run-01,splithalf-01,,,,
6,pixar002,run-01,splithalf-01,,-1.8695112,,-2.481055
7,pixar002,run-01,splithalf-01,,0.3931234,,-0.440734
8,pixar002,run-01,splithalf-01,,-0.8583573,,-1.29242
9,pixar002,run-01,splithalf-01,,-1.150041,,-1.8371376
10,pixar002,run-01,splithalf-01,,0.53050375,,0.9947046
11,pixar002,run-01,splithalf-01,,-0.10245614,,0.22942218
12,pixar002,run-01,splithalf-01,,-1.0511912,,-0.060436707
13,pixar002,run-01,splithalf-01,,-0.6157382,,-0.22661301
14,pixar002,run-01,splithalf-01,,0.5800586,,-0.45325738
15,pixar002,run-01,splithalf-01,,0.34068936,,0.3645137
16,pixar002,run-01,splithalf-01,,-2.407428,,-1.5115813
17,pixar002,run-01,splithalf-01,,-0.74113315,,-1.3173172
18,pixar002,run-01,splithalf-01,,-0.4479936,,-0.47973832
19,pixar002,run-01,splithalf-01,,,,
