time,sub,run,half,fROI-lFFA-lffa-lloc-splithalf-01,fROI-lFFA-lffa-lloc-splithalf-02,fROI-rFFA-rffa-rloc-splithalf-01,fROI-rFFA-rffa-rloc-splithalf-02
3,pixar001,run-01,splithalf-02,-1.264734,,-1.6001549,
4,pixar001,run-01,splithalf-02,-1.1624749,,-1.4256184,
5,pixar001,run-01,splithalf-02,-1.1611822,,-1.1768643,
6,pixar001,run-01,splithalf-02,-0.8093257,,-0.7918674,
7,pixar001,run-01,splithalf-02,-0.68376946,,-0.7844349,
8,pixar001,run-01,splithalf-02,0.008710615,,-0.5108155,
9,pixar001,run-01,splithalf-02,0.14595616,,-0.037342582,
10,pixar001,run-01,splithalf-02,0.66046894,,1.3117731,
11,pixar001,run-01,splithalf-02,-0.099274136,,0.04357583,
12,pixar001,run-01,splithalf-02,-0.4020362,,0.0388036,
13,pixar001,run-01,splithalf-02,0.13062544,,0.47601718,
14,pixar001,run-01,splithalf-02,0.46244898,,0.4931158,
15,pixar001,run-01,splithalf-02,0.889353,,0.022099758,
16,pixar001,run-01,splithalf-02,0.7802431,,-0.1917826,
17,pixar001,run-01,splithalf-02,0.14012428,,-0.12532368,
18,pixar001,run-01,splithalf-02,0.17480044,,-0.15904635,
19,pixar001,run-01,splithalf-02,0.6885503,,-0.33503604,
20,pixar001,run-01,splithalf-02,0.34151903,,-0.33732125,
21,pixar001,run-01,splithalf-02,0.6451735,,0.8859714,
22,pixar001,run-01,splithalf-02,-0.19899046,,0.36128297,
23,pixar001,run-01,splithalf-02,-0.3064295,,0.3085875,
24,pixar001,run-01,splithalf-02,1.4326077,,1.3620298,
25,pixar001,run-01,splithalf-02,-0.09146607,,0.091275334,
26,pixar001,run-01,splithalf-02,0.8520443,,0.79025066,
27,pixar001,run-01,splithalf-02,-0.5260595,,1.0965712,
28,pixar001,run-01,splithalf-02,-0.2854188,,0.28392464,
29,pixar001,run-01,splithalf-02,0.7080587,,-0.3886938,
30,pixar001,run-01,splithalf-02,0.023520296,,-0.58809555,
31,pixar001,run-01,splithalf-02,0.097210616,,-0.8107864,
32,pixar001,run-01,splithalf-02,1.0846225,,0.8449442,
33,pixar001,run-01,splithalf-02,1.2442144,,0.54869825,
34,pixar001,run-01,splithalf-02,0.6047448,,0.5702146,
35,pixar001,run-01,splithalf-02,0.98802835,,0.20504256,
36,pixar001,run-01,splithalf-02,1.0729543,,0.8437742,
37,pixar001,run-01,splithalf-02,0.79124004,,0.65939486,
38,pixar001,run-01,splithalf-02,0.91255796,,1.5304776,
39,pixar001,run-01,splithalf-02,0.29215643,,0.14251415,
40,pixar001,run-01,splithalf-02,-0.47064155,,-0.6187115,
41,pixar001,run-01,splithalf-02,-1.2369589,,-1.5561783,
42,pixar001,run-01,splithalf-02,-1.6139259,,-1.4886913,
43,pixar001,run-01,splithalf-02,-1.9187676,,-1.2973564,
44,pixar001,run-01,splithalf-02,-1.0093346,,-0.83819616,
45,pixar001,run-01,splithalf-02,-0.08407056,,-0.05767057,
46,pixar001,run-01,splithalf-02,-0.28118625,,-0.15447596,
47,pixar001,run-01,splithalf-02,-0.101882316,,-0.35261825,
48,pixar001,run-01,splithalf-02,-0.22624011,,0.020762356,
49,pixar001,run-01,splithalf-02,-0.25346005,,0.26230836,
50,pixar001,run-01,splithalf-02,0.45201373,,0.9020877,
51,pixar001,run-01,splithalf-02,0.63698375,,0.6474514,
52,pixar001,run-01,splithalf-02,0.36102962,,0.9389189,
53,pixar001,run-01,splithalf-02,-0.046756335,,-0.09898358,
54,pixar001,run-01,splithalf-02,-0.557782,,-0.6656431,
55,pixar001,run-01,splithalf-02,-0.5571551,,-1.1654968,
56,pixar001,run-01,splithalf-02,-0.009921342,,-0.9060934,
57,pixar001,run-01,splithalf-02,-0.74167955,,-0.9587267,
58,pixar001,run-01,splithalf-02,-0.48337546,,-0.25986207,
59,pixar001,run-01,splithalf-02,0.2441309,,0.15095162,
60,pixar001,run-01,splithalf-02,0.42279333,,0.82196444,
61,pixar001,run-01,splithalf-02,0.89003134,,1.4414581,
62,pixar001,run-01,splithalf-02,0.64403003,,0.69061136,
63,pixar001,run-01,splithalf-02,0.48251382,,0.5554849,
64,pixar001,run-01,splithalf-02,0.016408727,,0.53521067,
65,pixar001,run-01,splithalf-02,1.0888325,,1.1444956,
66,pixar001,run-01,splithalf-02,0.6237154,,0.6673732,
67,pixar001,run-01,splithalf-02,-0.39723998,,0.8204792,
68,pixar001,run-01,splithalf-02,-0.40025067,,0.11682713,
69,pixar001,run-01,splithalf-02,-0.06242284,,0.5879505,
70,pixar001,run-01,splithalf-02,-0.6519713,,0.104014754,
71,pixar001,run-01,splithalf-02,-0.080432005,,-0.31978804,
72,pixar001,run-01,splithalf-02,0.39039016,,0.11598642,
73,pixar001,run-01,splithalf-02,0.3648677,,0.66849136,
74,pixar001,run-01,splithalf-02,-0.16099986,,0.12793009,
75,pixar001,run-01,splithalf-02,-0.9887888,,-0.54448307,
76,pixar001,run-01,splithalf-02,-0.60639703,,-0.35705787,
77,pixar001,run-01,splithalf-02,1.026221,,-0.036059987,
78,pixar001,run-01,splithalf-02,1.0412414,,-0.14309412,
79,pixar001,run-01,splithalf-02,0.57283103,,0.6473983,
80,pixar001,run-01,splithalf-02,-1.5114133,,-1.2659225,
81,pixar001,run-01,splithalf-02,-1.9402844,,-0.8590689,
0,pixar002,run-01,splithalf-01,,,,
1,pixar002,run-01,splithalf-01,,,,
2,pixar002,run-01,splithalf-01,,,,
3,pixar002,run-01,splithalf-01,,,,
4,pixar002,run-01,splithalf-01,,-0.12409999,,-2.1619744
5,pixar002,run-01,splithalf-01,,,,
6,pixar002,run-01,splithalf-01,,-2.1240585,,-2.1357
7,pixar002,run-01,splithalf-01,,-0.25855523,,-0.4682808
8,pixar002,run-01,splithalf-01,,-0.4449622,,-1.1421175
9,pixar002,run-01,splithalf-01,,-0.35830936,,-1.0400318
10,pixar002,run-01,splithalf-01,,0.43782133,,0.46573153
11,pixar002,run-01,splithalf-01,,0.12664196,,0.9017786
12,pixar002,run-01,splithalf-01,,0.36942872,,-0.29870433
13,pixar002,run-01,splithalf-01,,1.1315663,,-0.34285584
14,pixar002,run-01,splithalf-01,,-1.358792,,-1.5439866
15,pixar002,run-01,splithalf-01,,-0.4339617,,-0.39612833
16,pixar002,run-01,splithalf-01,,-1.0533705,,-1.2371572
17,pixar002,run-01,splithalf-01,,-0.38406548,,-1.7651514
